c2;c3;NameAuto;c4;c4o;c5;c5m;c6;c6a;c7;c8;c8_o;ListVehicles;PARENT_KEY;KEY;Fexp
1;A;Automóvil;1;;1;25286;2;1;1997;1;;Vehículo No. 1: Automóvil (1997);uuid:d7feb804-fe5b-4bdc-8352-1656b725c40b;uuid:d7feb804-fe5b-4bdc-8352-1656b725c40b/accepted/C/C.1/vehicles[1];170,72
2;E;Motocicleta;1;;;;2;8;2014;1;;Vehículo No. 2: Motocicleta (2014);uuid:d7feb804-fe5b-4bdc-8352-1656b725c40b;uuid:d7feb804-fe5b-4bdc-8352-1656b725c40b/accepted/C/C.1/vehicles[2];170,72
1;A;Automóvil;1;;1;11001;2;1;2013;1;;Vehículo No. 1: Automóvil (2013);uuid:b57585c2-41df-41e5-b5e4-fdfcb8a94ccf;uuid:b57585c2-41df-41e5-b5e4-fdfcb8a94ccf/accepted/C/C.1/vehicles[1];379,38
2;E;Motocicleta;1;;;;2;8;2013;1;;Vehículo No. 2: Motocicleta (2013);uuid:b57585c2-41df-41e5-b5e4-fdfcb8a94ccf;uuid:b57585c2-41df-41e5-b5e4-fdfcb8a94ccf/accepted/C/C.1/vehicles[2];379,38
1;E;Motocicleta;1;;;;2;8;2021;1;;Vehículo No. 1: Motocicleta (2021);uuid:9483e58b-80c0-4c79-bc88-6ae47b737524;uuid:9483e58b-80c0-4c79-bc88-6ae47b737524/accepted/C/C.1/vehicles[1];174,86
1;A;Automóvil;1;;1;11001;2;1;1995;1;;Vehículo No. 1: Automóvil (1995);uuid:eb2acc17-53d7-49b1-bf2f-15fb086d0e22;uuid:eb2acc17-53d7-49b1-bf2f-15fb086d0e22/accepted/C/C.1/vehicles[1];165,91
1;A;Automóvil;1;;1;11001;2;1;9999;1;;Vehículo No. 1: Automóvil (9999);uuid:fc49d73f-6898-41b0-bb4e-50749199ae52;uuid:fc49d73f-6898-41b0-bb4e-50749199ae52/accepted/C/C.1/vehicles[1];191,91
1;E;Motocicleta;1;;;;2;8;2020;1;;Vehículo No. 1: Motocicleta (2020);uuid:75b6ca8d-2210-475d-8495-ebfa5911c085;uuid:75b6ca8d-2210-475d-8495-ebfa5911c085/accepted/C/C.1/vehicles[1];84,21
1;A;Automóvil;1;;1;11001;2;1;1980;1;;Vehículo No. 1: Automóvil (1980);uuid:0b5ea7fe-eab0-4be0-a729-15099b3f385f;uuid:0b5ea7fe-eab0-4be0-a729-15099b3f385f/accepted/C/C.1/vehicles[1];82,47
1;B;Campero/Camioneta;1;;1;11001;2;1;9999;1;;Vehículo No. 1: Campero/Camioneta (9999);uuid:08795da8-9c86-4003-a416-63c2e5217bcd;uuid:08795da8-9c86-4003-a416-63c2e5217bcd/accepted/C/C.1/vehicles[1];212,45
